secID,名称,首次,最后,价格,连板,涨幅%,题材,涨停原因,题材（G）,tradeDate
000557.XSHE,西部创业,09:25,09:25,6.26,2,10.02,股权转让,股权转让 公司实控人拟变更为国家能源更多...,一带一路 国企改革 煤炭概念 股权转让 西部开发 地方国企改革,2024-11-08
000564.XSHE,供销大集,09:25,09:25,2.88,4,9.92,大消费,大消费 实控人中华全国供销合作总社更多...,供销社 海南自贸区 无人零售 农村电商 电子商务 新零售 乡村振兴 标普道琼斯A股 网络直播 冷链物流 跨境电商 社区团购 抖音概念 百度概念 统一大市场 摘帽 2024中报预增 抖音小店 京东概念 商超百货 陕西自贸区 西安自贸区 海航系,2024-11-08
000826.XSHE,启迪环境,09:25,09:25,2.89,2,9.89,股权转让,股权转让 公司控股股东50万股将被司更多...,汽车拆解概念 土壤修复 污水处理 新型城镇化 节能环保 固废处理 PPP概念 地下管网 雄安新区 乡村振兴 锂电池概念 垃圾分类 标普道琼斯A股 医疗废物处理 碳中和 人工智能 新能源汽车 数字经济 动力电池回收 车联网(车路协同) 无人驾驶 农村环境治理 危废处理 美丽中国,2024-11-08
000929.XSHE,兰州黄河,09:25,09:25,8.78,1,10.03,大消费,大消费 西北地区啤酒小龙头，公司实更多...,壳资源 啤酒概念 污水处理 兰州自贸区,2024-11-08
000981.XSHE,山子高科,09:25,09:25,2.0,4,9.89,房地产,房地产 立足宁波本土的区域性龙头房更多...,汽车拆解概念 减速器 比亚迪概念 新能源汽车 物联网 高端装备 华为汽车 集成电路概念 先进封装 上海自贸区 蔚来汽车概念 汽车制造概念,2024-11-08
002510.XSHE,天汽模,09:25,09:25,6.74,3,9.95,特斯拉,特斯拉 全球规模最大的汽车覆盖件模更多...,国产软件 长安汽车概念 无人机 京津冀一体化 特斯拉概念 军工 新能源汽车 军民融合 恒大概念 大飞机 比亚迪概念 华为汽车 通用航空 宁德时代概念 创投 理想汽车概念 小鹏汽车概念 蔚来汽车概念 北汽新能源,2024-11-08
002547.XSHE,春兴精工,09:25,09:25,4.79,3,10.11,特斯拉,特斯拉 1、公司新能源汽车领域主要更多...,一体化压铸 减速器 工业4.0 5G 军工 特斯拉概念 标普道琼斯A股 光伏概念 消费电子概念 储能 新能源汽车 芯片概念 比亚迪概念 小鹏汽车概念 射频器 3D玻璃 基站射频 融资租赁,2024-11-08
002673.XSHE,西部证券,09:25,09:25,10.0,1,10.01,大金融,大金融 公司拟38亿收购国融近65更多...,期货概念 国企改革 MSCI概念 标普道琼斯A股 地方国企改革 参股基金,2024-11-08
002892.XSHE,科力尔,09:25,09:25,17.67,1,10.02,机器人,机器人 1、公司在伺服系统等领域实更多...,工业母机 华为汽车 新型工业化 机器人概念 智能家居 华为概念 专精特新 新能源汽车 人民币贬值受益 工业4.0 智能制造 小米概念 3D打印 电机电控 国产替代,2024-11-08
300484.XSHE,蓝海华腾,09:25,09:25,27.59,1,20.01,新能源汽车,飞行汽车/eVTOL 1、国内电动汽车电机控制器更多...,低空经济 新型工业化 比亚迪概念 工业4.0 新能源汽车 锂电池概念 粤港澳大湾区 芯片概念 燃料电池 第三代半导体 高压快充 MCU芯片 专精特新 智能制造 智能物流 固态电池 数字孪生 传感器 边缘计算 IGBT 碳化硅 北汽新能源 电机电控 锂电原料 新能源物流车,2024-11-08
600206.XSHG,有研新材,09:25,09:25,14.62,2,10.01,稀土永磁,稀土磁材 公司打造稀土金属-稀土磁性更多...,芯片概念 中芯国际概念 OLED 新材料概念 稀土永磁 小金属概念 军工 华为概念 5G 标普道琼斯A股 医疗器械概念 雄安新区 牙科医疗 国企改革 京津冀一体化 固态电池 央企国企改革 OLED材料 砷化镓 靶材 钌催化剂,2024-11-08
600210.XSHG,紫江企业,09:25,09:25,8.49,3,9.97,新能源汽车,固态电池 控股子公司紫江新材主营产品更多...,飞行汽车(eVTOL) 可降解塑料 固态电池 锂电池概念 创投 标普道琼斯A股 大飞机 节能环保 比亚迪概念 毫米波雷达 高股息精选 低空经济 新兴板概念,2024-11-08
600654.XSHG,中安科,09:25,09:25,3.33,2,9.9,华为产业链,华为产业链 全资子公司深圳豪恩与华为生更多...,网络安全 国产软件 智能交通 安防 智慧城市 华为概念 比亚迪概念 摘帽 2024中报预增 服务机器人 消防装备,2024-11-08
603222.XSHG,济民健康,09:25,09:25,7.65,1,10.07,海南自由贸易港,海南自由贸易港 公司子公司博鳌国际医院拥有更多...,细胞免疫治疗 抗原检测 民营医院 医疗器械概念 医美概念 幽门螺杆菌概念 生物医药 干细胞 体外诊断,2024-11-08
603366.XSHG,日出东方,09:25,09:25,7.17,5,9.97,新能源汽车,新能源汽车 公司携手华为打造苏北首座全更多...,家用电器 建筑节能 网红经济 创投 区块链 快手概念 光伏概念 空气能热泵 储能 智能制造 参股民营银行 太阳能,2024-11-08
603955.XSHG,大千生态,09:25,09:25,14.1,4,9.98,股权转让,股权转让 公司控股股东拟由大千投资变更多...,新型城镇化 PPP概念 雄安新区 特色小镇 碳中和 旅游概念 园林开发 美丽中国,2024-11-08
000605.XSHE,渤海股份,09:25,09:30,8.09,4,10.07,环保,环保 实控人天津市国资委；公司拥更多...,污水处理 固废处理 PPP概念 京津冀一体化 雄安新区 国企改革 养老概念 地方国企改革 天津国企改革,2024-11-08
000635.XSHE,英力特,09:30,09:30,10.16,1,9.96,其他,国企改革 国家能源集团旗下，电石产品更多...,消毒剂 氢能源 国企改革 光伏概念 央企国企改革 2024中报预增 电石 PVC 4D打印,2024-11-08
600292.XSHG,远达环保,09:31,09:32,13.94,2,10.02,资产重组,资产重组 公司拟定增收购五凌电力10更多...,碳中和 污水处理 节能环保 PM2.5 土壤修复 PPP概念 期货概念 乡村振兴 国企改革 动力电池回收 绿色电力 央企国企改革 太阳能 节能减排 脱硫脱硝 美丽中国 电力改革 成渝特区 废气处理,2024-11-08
688262.XSHG,国芯科技科,09:32,09:32,27.89,1,20.01,国产芯片,国产芯片 公司研发的量子安全芯片和量更多...,汽车芯片 MCU芯片 国家大基金持股 芯片概念 汽车电子 数字货币 边缘计算 电子身份证 东数西算(算力) 比亚迪概念 量子科技 信创 先进封装 存储芯片 星闪概念 长安汽车概念 车联网(车路协同) 数据安全 无人驾驶 网络安全 数据存储 芯片设计,2024-11-08
000757.XSHE,浩物股份,09:34,09:34,4.22,1,9.9,新能源汽车,新能源汽车 公司为赛力斯问界M7及其他更多...,长安汽车概念 比亚迪概念 新能源汽车 华为汽车 疫苗存储 空气净化 二手车,2024-11-08
600841.XSHG,动力新科,09:34,09:34,6.67,3,10.07,上海国企改革,上海国企改革 上海汽车工业集团旗下；公司更多...,换电概念 无人驾驶 工业4.0 上海国企改革 氢能源 新能源汽车 国企改革 智能制造 工业互联网 汽车芯片 地方国企改革 汽车制造概念 含B股,2024-11-08
002298.XSHE,中电兴发,09:35,09:35,5.75,1,9.94,信创,国产软件 公司主营电气设备及智慧城市更多...,智慧政务 数据安全 云计算 智能电网 充电桩 安防 无人机 PPP概念 5G 智慧城市 边缘计算 国产软件 储能 军工 碳中和 数据中心 数字乡村 虚拟电厂 信创 数字经济 电子商务 高铁 华为概念 AIGC概念 人工智能 物联网 大数据 东数西算(算力) 智能交通 时空大数据 工业互联网 网络安全 消费电子概念 人脸识别 数据要素 电力物联网 传感器 无线充电 智能制造 机器视觉 军工信息化 光伏建筑一体化 轨道交通 数据存储 光纤 安徽自贸区 共享汽车 共享经济 反恐 锌电池 元器件,2024-11-08
300173.XSHE,福能东方,09:34,09:36,5.86,1,20.08,锂电池,新能源汽车 公司向宁德时代销售包装机、更多...,新型工业化 智能制造 新能源汽车 锂电池概念 无线耳机 宁德时代概念 数据中心 国企改革 算力租赁 华为概念 LG概念 地方国企改革 锂电设备 工业机器人 3D玻璃 环保包装 广东国企改革,2024-11-08
601828.XSHG,美凯龙,09:25,09:36,4.0,2,9.89,房地产,房地产 家具平台龙头，此前建发股份更多...,网络直播 新零售 国企改革 腾讯概念 阿里巴巴概念 标普道琼斯A股 进口博览会 地方国企改革 参股新股,2024-11-08
002290.XSHE,禾盛新材,09:37,09:37,16.74,1,9.99,其他,其他 国内知名的家电用复合材料生更多...,家用电器 文化传媒概念 股权转让 人工智能 智能制造,2024-11-08
002622.XSHE,皓宸医疗,09:38,09:38,3.21,1,9.93,医药,医药 控股子公司德伦医疗是华南地更多...,牙科医疗 民营医院 智能医疗 智能电网 参股银行 健康中国 医美概念,2024-11-08
600110.XSHG,诺德股份,09:38,09:38,4.94,2,10.02,新能源汽车,新能源汽车 锂电铜箔占有率行业领先企业更多...,固态电池 锂电池概念 宁德时代概念 新能源汽车 特斯拉概念 核电 MSCI概念 比亚迪概念 PET铜箔 光伏概念 PCB概念 LG概念 覆铜板概念 中国科学院系,2024-11-08
603918.XSHG,金桥信息,09:38,09:38,13.79,1,9.97,华为产业链,国产软件 多媒体信息系统领先企业；公更多...,数据确权 智慧政务 云办公 上海自贸区 华为概念 蚂蚁金服概念 信创 Web3.0 在线教育 人工智能 互联网金融 智能医疗 金融科技 智慧党建,2024-11-08
002383.XSHE,合众思壮,09:39,09:39,9.25,1,9.99,军工,军工 公司实控人河南省财政厅，旗更多...,时空大数据 卫星导航 低空经济 智能交通 智慧城市 芯片概念 大数据 标普道琼斯A股 华为概念 无人驾驶 北交所概念 数字乡村 车联网(车路协同) 新型城镇化 水利 农机 国企改革 数字经济 智慧灯杆 电子商务 无人机 商业航天 国产软件 地方国企改革 河南国企改革 航空航天 遥感技术,2024-11-08
600619.XSHG,海立股份,09:34,09:39,18.62,5,9.98,上海国企改革,上海国企改革 公司为上海微电子装备集团设更多...,空气能热泵 家用电器 冷链物流 上海国企改革 新能源汽车 汽车热管理 国企改革 比亚迪概念 光刻机 上海自贸区 智能制造 2024中报预增 地方国企改革 北汽新能源 含B股,2024-11-08
601698.XSHG,中国卫通,09:39,09:39,22.44,1,10.0,卫星互联网,卫星互联网 我国唯一拥有通信卫星资源且更多...,商业航天 军工 6G概念 一带一路 中字头股票 国企改革 低空经济 央企国企改革 2024中报预增,2024-11-08
002651.XSHE,利君股份,09:41,09:41,8.09,1,10.07,军工,军工 公司全资子公司成都德坤航空更多...,商业航天 成飞概念 大飞机 高端装备 节能环保 军工 无人机 通用航空 军民融合 机器人概念 航空航天,2024-11-08
603116.XSHG,红蜻蜓,09:41,09:41,5.74,1,9.96,大消费,大消费 公司为国内优质鞋企，在第三更多...,新零售 电子商务 C2M概念 跨境电商 高股息精选 参股民营银行,2024-11-08
600536.XSHG,中国软件,09:44,09:45,65.7,2,9.99,国产软件,国产软件 公司拥有完整的从操作系统等更多...,华为欧拉 国产操作系统 信创 中字头股票 云计算 国产软件 网络安全 智慧城市 标普道琼斯A股 MSCI概念 数字经济 电子身份证 京津冀一体化 参股新三板 数据安全 乡村振兴 国企改革 华为概念 数据中心 央企国企改革 财税数字化 智慧政务 北京自贸区 智慧党建 参股新股,2024-11-08
600653.XSHG,申华控股,09:30,09:45,2.73,2,10.08,国企改革,国企改革 实控人沈阳市国资委，公司主更多...,职业教育 垃圾分类 国企改革 光伏概念 物业管理 地方国企改革 二手车 汽车关税下调 辽宁国企改革,2024-11-08
002848.XSHE,高斯贝尔,09:46,09:46,10.13,1,9.99,国企改革,5G 公司微波介质陶瓷天线是微波更多...,数字经济 华为概念 智能家居 5G 超清视频 军工 PCB概念 卫星导航 医疗器械概念 国企改革 新材料概念 新基建 覆铜板概念 地方国企改革,2024-11-08
300379.XSHE,东方通创,09:49,09:49,20.0,1,19.98,华为产业链,华为产业链 公司是华为战略合作伙伴，生更多...,数据安全 华为鲲鹏 华为欧拉 国产软件 云计算 大数据 网络安全 人工智能 军工 5G 华为概念 ETC 区块链 工业互联网 国产操作系统 跨境支付(CIPS) 信创 职业教育 智慧政务 虚拟现实 数据确权 阿里巴巴概念 AIGC概念 ChatGPT概念 数据要素 多模态AI 军工信息化 车联网(车路协同) 密码安全管理 机器学习,2024-11-08
301222.XSHE,浙江恒威,09:49,09:49,31.55,1,20.01,其他,其他 公司专业从事高性能环保锌锰更多...,智能制造 人民币贬值受益 工业互联网 外贸受益概念,2024-11-08
002765.XSHE,蓝黛科技,09:38,09:53,12.39,7,10.04,新能源汽车,新能源汽车 行业内生产变速器总成的规模更多...,长安汽车概念 减速器 华为汽车 军工 虚拟现实 新能源汽车 比亚迪概念 智能座舱 低空经济 成渝特区 触摸屏,2024-11-08
002826.XSHE,易明医药,09:55,09:55,11.35,1,9.98,医药,医药 公司生产的适用于2型糖尿病更多...,仿制药一致性评价 2024中报预增 仿制药 医保目录 中医药,2024-11-08
688656.XSHG,浩欧博科,09:35,09:55,114.84,1,20.0,股权转让,股权转让 中国生物制药拟收购公司最多更多...,,2024-11-08
688691.XSHG,灿芯股份科,09:57,09:57,64.98,1,20.0,国产芯片,国产芯片 公司是全球第五、境内第二的更多...,科创次新股 存储芯片 集成电路概念 注册制次新股 新股与次新股 专精特新 芯片概念 上海自贸区 5G 卫星导航,2024-11-08
603360.XSHG,百傲化学,09:39,10:01,24.94,1,10.01,资产重组,国产芯片 全资子公司芯傲华拟以7亿元更多...,化学制品（行业） 芯片概念 消毒剂,2024-11-08
603131.XSHG,上海沪工,09:41,10:06,20.5,1,9.98,卫星互联网,卫星互联网 公司的航天业务板块由两部分更多...,商业航天 卫星导航 军工 工业4.0 机器人概念 新能源汽车 长三角一体化 海工装备 专精特新 智能制造 工业母机 工业机器人,2024-11-08
002796.XSHE,世嘉科技,10:09,10:09,12.5,1,10.04,5G,5G 1、行业内为数不多同时拥有更多...,6G概念 5G 军工 医疗器械概念 储能 2024中报预增 射频器 电梯概念 通信基站,2024-11-08
002889.XSHE,东方嘉盛,10:09,10:09,23.17,1,10.02,光刻机（胶,国产芯片 公司与国际头部芯片光刻机厂更多...,光刻机 人工智能 华为概念 跨境电商 大数据 电子商务 智能物流 供应链金融 特斯拉概念 冷链物流 生物疫苗 统一大市场 自由贸易港 一带一路 数字经济 机器人概念 快递,2024-11-08
688584.XSHG,上海合晶科,10:09,10:09,20.93,1,20.01,国产芯片,国产芯片 公司主要产品为半导体硅外延更多...,,2024-11-08
600936.XSHG,广西广电,10:14,10:14,3.45,1,9.87,其他,其他 1、公司拥有融合媒体云平台更多...,文化传媒概念 数字乡村 大数据 国企改革 乡村振兴 广播电视 地方国企改革,2024-11-08
603283.XSHG,赛腾股份,09:47,10:18,78.63,1,10.0,苹果产业链,苹果产业链 1、公司主营自动化组装、检更多...,同花顺果指数 无线耳机 苹果概念 工业4.0 芯片概念 标普道琼斯A股 集成电路概念 特斯拉概念 新能源汽车 锂电池概念 英伟达概念 新型工业化 芯片封装测试,2024-11-08
688653.XSHG,康希通信科,10:20,10:20,16.73,1,20.01,车联网/车路云,国产芯片 公司主要从事Wi-Fi射频更多...,科创次新股 注册制次新股 星闪概念 芯片概念 物联网 智能家居 新股与次新股 WiFi 6 车联网(车路协同) 集成电路概念 智能音箱 专精特新 上海自贸区,2024-11-08
600518.XSHG,康美药业,09:25,10:21,2.57,2,9.83,医药,医药 国内中医药产业中业务链条较更多...,2024中报预增 互联网医疗 生物医药 流感 民营医院 健康中国 医疗器械概念 医药电商 摘帽 维生素 贸易战受益股 儿童医药医疗 融资租赁 中医药 医保目录 人参 冬虫夏草,2024-11-08
603068.XSHG,博通集成,10:30,10:30,28.99,1,10.02,国产芯片,国产芯片 公司主营无线通讯集成电路芯更多...,汽车芯片 MCU芯片 集成电路概念 芯片概念 ETC 上海自贸区 无人机 华为概念 无线耳机 卫星导航 物联网 智能交通 消费电子概念 小米概念 WiFi 6 无人驾驶 智能音箱 星闪概念 毫米波雷达 人工智能 智能家居 传感器 鸿蒙概念,2024-11-08
002348.XSHE,高乐股份,09:30,10:31,4.09,3,9.95,大消费,大消费 国内电子电动塑胶玩具出口龙更多...,在线教育 人工智能 三胎概念 3D打印 股权转让 固态电池 跨境电商 钠离子电池 盲盒 IP概念 服务机器人 迪士尼,2024-11-08
688530.XSHG,欧莱新材科,10:21,10:31,22.06,1,20.02,国产芯片,国产芯片 公司主营业务为高性能溅射靶更多...,科创次新股 注册制次新股 专精特新 新股与次新股 PET铜箔 新材料概念 HJT电池 光伏概念,2024-11-08
