secID,股票名称,题材,题材汇总,涨停原因,题材（G）,tradeDate
000557.XSHE,西部创业,股权转让,"基建 物流 公告 项目启动,股权转让,食品饮料 运输 一带一路 国企改革",股权转让 公司实控人拟变更为国家能源更多...,一带一路 国企改革 煤炭概念 股权转让 西部开发 地方国企改革,2024-11-08
000564.XSHE,供销大集,大消费,"大消费,国企改革",大消费 实控人中华全国供销合作总社更多...,供销社 海南自贸区 无人零售 农村电商 电子商务 新零售 乡村振兴 标普道琼斯A股 网络直播 冷链物流 跨境电商 社区团购 抖音概念 百度概念 统一大市场 摘帽 2024中报预增 抖音小店 京东概念 商超百货 陕西自贸区 西安自贸区 海航系,2024-11-08
000826.XSHE,启迪环境,股权转让,"股权转让,环保,环保 动力电池回收 新能源汽车,环保 动力电池回收 固废处理,其他,环保 动力电池回收,环境治理+数字环卫+车联网+低价股",股权转让 公司控股股东50万股将被司更多...,汽车拆解概念 土壤修复 污水处理 新型城镇化 节能环保 固废处理 PPP概念 地下管网 雄安新区 乡村振兴 锂电池概念 垃圾分类 标普道琼斯A股 医疗废物处理 碳中和 人工智能 新能源汽车 数字经济 动力电池回收 车联网(车路协同) 无人驾驶 农村环境治理 危废处理 美丽中国,2024-11-08
000929.XSHE,兰州黄河,大消费,"消费 食品 啤酒,大消费,啤酒 食品 消费,食品饮料,白酒 食品饮料",大消费 西北地区啤酒小龙头，公司实更多...,壳资源 啤酒概念 污水处理 兰州自贸区,2024-11-08
000981.XSHE,山子高科,房地产,"新能源汽车,新能源汽车 汽车零部件 华为汽车,公告 低价股,汽车产业链 汽车零部件,华为产业链 华为汽车 新能源汽车,房地产,汽车产业链,回购",房地产 立足宁波本土的区域性龙头房更多...,汽车拆解概念 减速器 比亚迪概念 新能源汽车 物联网 高端装备 华为汽车 集成电路概念 先进封装 上海自贸区 蔚来汽车概念 汽车制造概念,2024-11-08
002510.XSHE,天汽模,特斯拉,"新能源汽车 汽车零部件 复牌股 国企改革,新能源汽车 锂电池 公告 实控人拟变更,特斯拉,新能源汽车 汽车零部件",特斯拉 全球规模最大的汽车覆盖件模更多...,国产软件 长安汽车概念 无人机 京津冀一体化 特斯拉概念 军工 新能源汽车 军民融合 恒大概念 大飞机 比亚迪概念 华为汽车 通用航空 宁德时代概念 创投 理想汽车概念 小鹏汽车概念 蔚来汽车概念 北汽新能源,2024-11-08
002547.XSHE,春兴精工,特斯拉,"新能源汽车 手机产业链 笔记本电脑,汽车产业链 汽车压铸 华为产业链,手机产业链,汽车产业链 一体化压铸 华为汽车,AI手机,折叠屏,华为产业链,汽车产业链,汽车产业链 一体化压铸 特斯拉 华为产业链,特斯拉,华为产业链 手机产业链",特斯拉 1、公司新能源汽车领域主要更多...,一体化压铸 减速器 工业4.0 5G 军工 特斯拉概念 标普道琼斯A股 光伏概念 消费电子概念 储能 新能源汽车 芯片概念 比亚迪概念 小鹏汽车概念 射频器 3D玻璃 基站射频 融资租赁,2024-11-08
002673.XSHE,西部证券,大金融,"大金融,金融 券商,证券+国企",大金融 公司拟38亿收购国融近65更多...,期货概念 国企改革 MSCI概念 标普道琼斯A股 地方国企改革 参股基金,2024-11-08
002892.XSHE,科力尔,机器人,"华为产业链 机器人 汽车产业链 电机,新能源汽车 电机 机器人,华为产业链 机器人 电机 小米合作,机器人 智能制造 汽车零部件,机器人 汽车产业链,汽车产业链 汽车零部件 机器人,新能源汽车 汽车零部件 机器人,新能源汽车 汽车零部件 一季报增长,华为+机器人+新型工业化+专精特新,机器人 汽车产业链 华为产业链,新能源汽车 机器人 家电 智能制造,机器人",机器人 1、公司在伺服系统等领域实更多...,工业母机 华为汽车 新型工业化 机器人概念 智能家居 华为概念 专精特新 新能源汽车 人民币贬值受益 工业4.0 智能制造 小米概念 3D打印 电机电控 国产替代,2024-11-08
300484.XSHE,蓝海华腾,新能源汽车,"低空经济 固态电池,低空经济 固态电池 电机,新能源汽车 汽车零部件 半导体芯片,新能源汽车",飞行汽车/eVTOL 1、国内电动汽车电机控制器更多...,低空经济 新型工业化 比亚迪概念 工业4.0 新能源汽车 锂电池概念 粤港澳大湾区 芯片概念 燃料电池 第三代半导体 高压快充 MCU芯片 专精特新 智能制造 智能物流 固态电池 数字孪生 传感器 边缘计算 IGBT 碳化硅 北汽新能源 电机电控 锂电原料 新能源物流车,2024-11-08
